user_id,chat_id,language,number_messages,handling_time,start_time,website,website_summary
User 1506,14037,English,9,951.0,2018-06-20 23:14:15.944306,Website A,Website A
User 1512,14038,English,39,2897.0,2018-06-20 23:28:42.160942,Website D,Website D
User 1506,14042,English,41,1003.0,2018-06-20 23:22:40.361252,Website A,Website A
User 1512,14043,English,22,918.0,2018-06-20 23:22:44.370213,Website A,Website A
User 1506,14044,English,7,931.0,2018-06-20 23:16:26.845798,Website B,Website B
User 1506,14045,English,14,1612.0,2018-06-20 22:19:31.541552,Website A,Website A
User 1506,14046,English,7,674.0,2018-06-20 23:30:56.203231,Website A,Website A
User 1512,14050,English,17,963.0,2018-06-20 23:55:47.561965,Website A,Website A
User 1512,14051,English,15,900.0,2018-06-20 23:22:43.212653,Website D,Website D
User 1506,14054,English,29,1214.0,2018-06-20 23:42:22.099669,Website A,Website A
User 1506,14055,English,13,2136.0,2018-06-20 23:02:16.223624,Website A,Website A
User 1512,14056,English,36,1757.0,2018-06-20 23:25:55.199801,Website A,Website A
User 1512,14057,English,17,1329.0,2018-06-20 22:51:51.025972,Website A,Website A
User 1506,14058,English,36,2535.0,2018-06-21 00:20:33.919344,Website A,Website A
User 1512,14059,English,12,939.0,2018-06-20 23:16:36.294627,Website B,Website B
User 1512,14061,English,45,2425.0,2018-06-20 23:44:42.985100,Website A,Website A
User 1512,14063,English,4,325.0,2018-06-20 23:50:11.730307,Website A,Website A
User 1512,14064,English,16,1067.0,2018-06-21 00:54:13.089034,Website D,Website D
User 1512,14065,English,36,1282.0,2018-06-21 00:50:37.783823,Website A,Website A
User 1461,14066,English,7,417.0,2018-06-20 23:26:41.641921,Website A,Website A
User 1461,14067,English,22,476.0,2018-06-21 00:34:31.180589,Website A,Website A
User 1461,14069,English,8,379.0,2018-06-20 23:28:23.613808,Website A,Website A
User 1509,14070,English,15,906.0,2018-06-21 00:02:46.279364,Website A,Website A
User 1509,14072,English,29,1207.0,2018-06-21 00:24:05.660494,Website A,Website A
User 1512,14073,English,24,1112.0,2018-06-20 23:23:42.943187,Website D,Website D
User 1519,14074,English,30,1328.0,2018-06-21 01:21:29.719077,Website A,Website A
User 1519,14075,English,32,1689.0,2018-06-21 01:12:59.703888,Website A,Website A
User 1519,14076,English,5,199.0,2018-06-21 00:28:43.250925,Website A,Website A
User 1441,14077,English,24,1012.0,2018-06-20 23:32:51.795845,Website A,Website A
User 1441,14078,English,19,895.0,2018-06-21 00:14:07.458740,Website A,Website A
User 1506,14079,English,10,744.0,2018-06-20 23:32:29.810232,Website A,Website A
User 1506,14080,English,7,547.0,2018-06-20 23:58:42.084846,Website A,Website A
User 1519,14081,English,25,938.0,2018-06-21 01:41:29.270135,Website A,Website A
User 1441,14082,English,39,1786.0,2018-06-21 01:51:37.764053,Website A,Website A
User 1506,14083,English,31,2034.0,2018-06-21 01:54:44.753480,Website A,Website A
User 1519,14084,English,3,144.0,2018-06-21 01:23:06.704038,Website A,Website A
User 1519,14085,English,9,502.0,2018-06-21 00:41:20.735064,Website G,Other
User 1519,14086,English,187,3434.0,2018-06-21 02:12:41.596890,Website B,Website B
User 1506,14087,English,7,744.0,2018-06-21 01:09:01.295717,Website A,Website A
User 1519,14088,English,36,1168.0,2018-06-21 01:30:27.214604,Website A,Website A
User 1506,14090,English,5,505.0,2018-06-21 02:11:01.911782,Website A,Website A
User 1441,14091,English,11,487.0,2018-06-21 01:32:12.430545,Website A,Website A
User 1441,14092,English,9,384.0,2018-06-21 02:00:44.962585,Website A,Website A
User 1506,14093,English,56,3985.0,2018-06-21 02:14:22.140460,Website A,Website A
User 1441,14094,English,8,343.0,2018-06-21 02:21:16.320613,Website E,Other
User 1441,14095,English,32,890.0,2018-06-21 02:30:57.565879,Website A,Website A
User 1512,14096,English,9,501.0,2018-06-21 02:14:55.562062,Website A,Website A
User 1519,14097,English,93,1934.0,2018-06-21 02:28:51.792524,Website A,Website A
User 1512,14098,English,61,2396.0,2018-06-21 02:33:49.078179,Website C,Website C
User 1441,14099,English,30,605.0,2018-06-21 01:32:10.487157,Website A,Website A
User 1519,14100,English,15,768.0,2018-06-21 02:06:27.160749,Website A,Website A
User 1441,14101,English,29,775.0,2018-06-21 03:34:26.408795,Website A,Website A
User 1519,14102,English,27,988.0,2018-06-21 03:22:53.996772,Website A,Website A
User 1519,14103,English,14,785.0,2018-06-21 03:38:19.646415,Website A,Website A
User 1441,14104,English,45,1395.0,2018-06-21 02:53:27.539365,Website A,Website A
User 1512,14106,English,9,389.0,2018-06-21 02:31:17.473781,Website A,Website A
User 1512,14108,English,42,2196.0,2018-06-21 03:29:53.343071,Website A,Website A
User 1512,14109,English,24,1207.0,2018-06-21 02:54:19.962901,Website A,Website A
User 1512,14110,English,20,1592.0,2018-06-21 03:32:17.398743,Website C,Website C
User 1512,14111,English,7,426.0,2018-06-21 04:20:54.362330,Website C,Website C
User 1512,14112,English,8,453.0,2018-06-21 04:05:26.009529,Website A,Website A
User 1506,14114,English,19,653.0,2018-06-21 04:30:20.865488,Website A,Website A
User 1446,14115,English,23,1361.0,2018-06-21 03:11:15.247157,Website D,Website D
User 1446,14116,English,13,742.0,2018-06-21 04:07:11.318804,Website A,Website A
User 1446,14117,English,20,884.0,2018-06-21 02:59:04.333773,Website A,Website A
User 1519,14120,English,17,444.0,2018-06-21 04:50:03.669144,Website A,Website A
User 1519,14122,English,27,652.0,2018-06-21 04:51:57.089129,Website G,Other
User 1512,14123,English,47,2116.0,2018-06-21 04:43:11.076526,Website C,Website C
User 1519,14124,English,40,1087.0,2018-06-21 04:46:54.444397,Website A,Website A
User 1519,14125,English,20,871.0,2018-06-21 05:57:58.780472,Website A,Website A
User 1506,14127,English,24,1411.0,2018-06-21 05:56:19.547072,Website A,Website A
User 1446,14128,English,40,1852.0,2018-06-21 05:03:27.926212,Website A,Website A
User 1519,14129,English,5,176.0,2018-06-21 06:17:23.632186,Website A,Website A
User 1519,14130,English,7,305.0,2018-06-21 05:45:01.045150,Website A,Website A
User 1519,14131,English,19,386.0,2018-06-21 06:16:48.689682,Website A,Website A
User 1512,14132,English,6,538.0,2018-06-21 05:05:06.091207,Website A,Website A
User 1506,14133,English,21,1222.0,2018-06-21 06:48:51.570811,Website A,Website A
User 1519,14134,English,7,287.0,2018-06-21 06:32:48.091946,Website A,Website A
User 1519,14135,English,32,1374.0,2018-06-21 05:37:27.349436,Website A,Website A
User 1519,14136,English,22,795.0,2018-06-21 05:10:09.769679,Website A,Website A
User 1519,14137,English,23,555.0,2018-06-21 06:15:34.324782,Website A,Website A
User 1445,14138,English,17,2063.0,2018-06-21 07:21:30.444385,Website A,Website A
